,Fecha\ Clave,150020,150024,150025,150031,150033,150037,150039,150057,150058,150060,150070,150081,150099,150104,150109,150121,150122,900002,900003,900004,900005,900006,900007,900008,900009,900010,900011,900012,900013,900014,900015,900016,900017,900106,900999
0,27-feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1,28-feb,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
2,29-feb,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
3,01-mar,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
4,02-mar,,,,,,,,1.0,,,,,,,,1.0,,,1.0,2.0,,,,1.0,,,,1.0,,,,,,,
5,03-mar,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
6,04-mar,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,
7,05-mar,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
8,06-mar,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,2.0,,,
9,07-mar,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,7.0,,,
10,08-mar,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,
11,09-mar,,2.0,,,,4.0,,3.0,,,1.0,,,,,,,,,4.0,,1.0,,1.0,,2.0,,5.0,,,,6.0,,,
12,10-mar,,,,,,,,1.0,,,,,,,,1.0,,,2.0,5.0,,,,1.0,,2.0,,1.0,,1.0,1.0,9.0,,,
13,11-mar,,,1.0,,,3.0,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,,,3.0,,,,3.0,,7.0,1.0,,
14,12-mar,,1.0,,,1.0,2.0,,2.0,1.0,,,,,,,,,,1.0,4.0,,,,,,4.0,,1.0,,1.0,1.0,3.0,,,
15,13-mar,,,,,,3.0,,2.0,1.0,,,,,,,,,1.0,1.0,8.0,,,,2.0,,5.0,,4.0,,1.0,2.0,8.0,,,
16,14-mar,,1.0,,,,1.0,,3.0,2.0,1.0,,,,1.0,,,,,2.0,4.0,1.0,1.0,2.0,1.0,,5.0,,2.0,2.0,1.0,,11.0,1.0,,
17,15-mar,,,,,2.0,,2.0,2.0,2.0,1.0,,,1.0,,,,,,3.0,6.0,1.0,2.0,2.0,1.0,,3.0,1.0,4.0,,2.0,1.0,9.0,,,
18,16-mar,,,,,2.0,5.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,3.0,8.0,1.0,,2.0,3.0,,2.0,,2.0,2.0,4.0,2.0,13.0,,,
19,17-mar,,,,,1.0,2.0,1.0,,2.0,,,,,,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,,,5.0,,1.0,,1.0,3.0,6.0,,,
20,18-mar,,,,,,2.0,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,,3.0,,,4.0,1.0,,1.0,,3.0,,2.0,4.0,6.0,,,
21,19-mar,,,,1.0,,1.0,,4.0,,1.0,,,,,,,,2.0,,4.0,2.0,,2.0,3.0,,3.0,,6.0,1.0,1.0,4.0,4.0,1.0,,
22,20-mar,1.0,,,1.0,2.0,5.0,,,2.0,1.0,,,1.0,,1.0,1.0,,2.0,1.0,3.0,10.0,2.0,10.0,2.0,,8.0,,2.0,4.0,2.0,2.0,4.0,1.0,,
23,21-mar,,1.0,,1.0,2.0,2.0,,2.0,1.0,2.0,,1.0,1.0,2.0,,1.0,,1.0,2.0,2.0,1.0,,,2.0,,,,3.0,1.0,1.0,4.0,2.0,1.0,,
24,22-mar,,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,4.0,1.0,3.0,,3.0,3.0,1.0,3.0,1.0,7.0,,,2.0,,2.0,2.0,3.0,1.0,,1.0,,
25,23-mar,2.0,,,,2.0,5.0,,1.0,5.0,1.0,,1.0,2.0,3.0,,2.0,,2.0,6.0,1.0,5.0,1.0,6.0,1.0,,4.0,3.0,5.0,1.0,1.0,5.0,4.0,3.0,,
