Fecha\ Clave,150020,150024,150025,150031,150033,150037,150039,150057,150058,150060,150070,150081,150099,150104,150109,150121,150122,900002,900003,900004,900005,900006,900007,900008,900009,900010,900011,900012,900013,900014,900015,900016,900017,900106,900999
27-feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
28-feb,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
29-feb,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
01-mar,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
02-mar,,,,,,,,1,,,,,,,,1,,,1,2,,,,1,,,,1,,,,,,,
03-mar,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
04-mar,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2,,,,,,,
05-mar,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
06-mar,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,,2,,,
07-mar,,,,,,1,,3,,,,,,,,,,,,,,,,,,1,,1,,,,7,,,
08-mar,,,,,1,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,,
09-mar,,2,,,,4,,3,,,1,,,,,,,,,4,,1,,1,,2,,5,,,,6,,,
10-mar,,,,,,,,1,,,,,,,,1,,,2,5,,,,1,,2,,1,,1,1,9,,,
11-mar,,,1,,,3,,,,,,,,,,,,,1,2,1,,1,,,3,,,,3,,7,1,,
12-mar,,1,,,1,2,,2,1,,,,,,,,,,1,4,,,,,,4,,1,,1,1,3,,,
13-mar,,,,,,3,,2,1,,,,,,,,,1,1,8,,,,2,,5,,4,,1,2,8,,,
14-mar,,1,,,,1,,3,2,1,,,,1,,,,,2,4,1,1,2,1,,5,,2,2,1,,11,1,,
15-mar,,,,,2,,2,2,2,1,,,1,,,,,,3,6,1,2,2,1,,3,1,4,,2,1,9,,,
16-mar,,,,,2,5,,3,1,,,1,1,1,1,2,,,3,8,1,,2,3,,2,,2,2,4,2,13,,,
17-mar,,,,,1,2,1,,2,,,,,,1,1,,1,3,1,1,,1,,,5,,1,,1,3,6,,,
18-mar,,,,,,2,1,1,2,,,1,1,,,,,1,,3,,,4,1,,1,,3,,2,4,6,,,
19-mar,,,,1,,1,,4,,1,,,,,,,,2,,4,2,,2,3,,3,,6,1,1,4,4,1,,
20-mar,1,,,1,2,5,,,2,1,,,1,,1,1,,2,1,3,10,2,10,2,,8,,2,4,2,2,4,1,,
21-mar,,1,,1,2,2,,2,1,2,,1,1,2,,1,,1,2,2,1,,,2,,,,3,1,1,4,2,1,,
22-mar,,2,,1,1,,,1,1,1,,,1,4,1,3,,3,3,1,3,1,7,,,2,,2,2,3,1,,1,,
23-mar,2,,,,2,5,,1,5,1,,1,2,3,,2,,2,6,1,5,1,6,1,,4,3,5,1,1,5,4,3,,
