City,Delegacion o Municipio,Population
Ciudad de México,AZCAPOTZALCO,414711
Ciudad de México,COYOACAN,628063
Ciudad de México,CUAJIMALPA DE MORELOS,199224
Ciudad de México,GUSTAVO A. MADERO,1185772
Ciudad de México,IZTACALCO,384326
Ciudad de México,IZTAPALAPA,1815786
Ciudad de México,LA MAGDALENA CONTRERAS,239086
Ciudad de México,MILPA ALTA,137927
Ciudad de México,ALVARO OBREGON,726664
Ciudad de México,TLAHUAC,305076
Ciudad de México,TLALPAN,574577
Ciudad de México,XOCHIMILCO,407885
Ciudad de México,BENITO JUAREZ,385439
Ciudad de México,CUAUHTEMOC,531831
Ciudad de México,MIGUEL HIDALGO,372889
Ciudad de México,VENUSTIANO CARRANZA,430978
Estado de México,COACALCO DE BERRIOZABAL,315480
Estado de México,CUAUTITLAN,157793
Estado de México,CHALCO,440819
Estado de México,CHICOLOAPAN,201967
Estado de México,CHIMALHUACAN,821671
Estado de México,ECATEPEC DE MORELOS,1655015
Estado de México,HUIXQUILUCAN,137380
Estado de México,IXTAPALUCA,322271
Estado de México,NAUCALPAN DE JUAREZ,792211
Estado de México,NEZAHUALCOYOTL,1104585
Estado de México,NICOLAS ROMERO,281799
Estado de México,LA PAZ,253845
Estado de México,TECAMAC,364579
Estado de México,TEXCOCO,126697
Estado de México,TLALNEPANTLA DE BAZ,653410
Estado de México,TULTITLAN,54334
Estado de México,CUAUTITLAN IZCALLI,484573
Estado de México,VALLE DE CHALCO SOLIDARIDAD,440819
